Here is the a* search path:

((3, 2, 1), (4, 9, 7), (6, 8, 5))
((3, 2, 1), (4, 9, 5), (6, 8, 7))
((3, 2, 1), (4, 9, 5), (6, 7, 8))
((3, 2, 1), (4, 5, 9), (6, 7, 8))
((3, 2, 1), (4, 5, 8), (6, 7, 9))
((3, 1, 2), (4, 5, 8), (6, 7, 9))
((1, 3, 2), (4, 5, 8), (6, 7, 9))
((1, 2, 3), (4, 5, 8), (6, 7, 9))
((2, 3, 1), (4, 5, 8), (6, 7, 9))
((2, 1, 3), (4, 5, 8), (6, 7, 9))
((1, 2, 3), (4, 5, 8), (6, 7, 9))
((3, 1, 2), (4, 5, 9), (6, 7, 8))
((3, 1, 2), (4, 5, 8), (6, 7, 9))
((1, 3, 2), (4, 5, 8), (6, 7, 9))
((1, 2, 3), (4, 5, 8), (6, 7, 9))
((1, 3, 2), (4, 5, 9), (6, 7, 8))
((1, 3, 2), (4, 5, 8), (6, 7, 9))
((1, 2, 3), (4, 5, 8), (6, 7, 9))
((1, 2, 3), (4, 5, 9), (6, 7, 8))
((1, 2, 3), (4, 5, 8), (6, 7, 9))
((2, 3, 1), (4, 5, 9), (6, 7, 8))
((2, 3, 1), (4, 5, 8), (6, 7, 9))
((2, 1, 3), (4, 5, 8), (6, 7, 9))
((1, 2, 3), (4, 5, 8), (6, 7, 9))
((2, 1, 3), (4, 5, 9), (6, 7, 8))
((2, 1, 3), (4, 5, 8), (6, 7, 9))
((1, 2, 3), (4, 5, 8), (6, 7, 9))
((1, 2, 3), (4, 5, 9), (6, 7, 8))
((1, 2, 3), (4, 5, 8), (6, 7, 9))
((3, 2, 1), (4, 7, 5), (6, 9, 8))
((3, 2, 1), (4, 7, 5), (6, 8, 9))
((3, 2, 1), (4, 5, 7), (6, 8, 9))
((3, 1, 2), (4, 5, 7), (6, 8, 9))
((1, 3, 2), (4, 5, 7), (6, 8, 9))
((1, 2, 3), (4, 5, 7), (6, 8, 9))
